9360	ACHC	건강관리장비 및 서비스	2.04	0.69	11.34	아카디아 헬스케어	23.1100
9361	ACHV	바이오	1.34	7.35	1.63	어치브 라이프 사이언스	2.1800
9362	ACIC		1.52	2.00	7.11	아메리칸 코스탈 인슈어런스	10.7800
9363	ACIU	바이오	0.58	1.68	3.53	AC 이뮨	2.0500
9364	ACIW	인터넷소프트웨어 및 IT서비스	2.54	3.21	17.84	ACI 월드와이드	45.2500
9365	ACLS	반도체 및 반도체장비	5.46	2.28	13.37	액셀리스 테크놀로지스	72.9700
9366	ACLX		2.98	8.88	22.53	아셀렉스	67.2000
9367	ACMR	반도체 및 반도체장비	1.56	1.84	17.49	ACM 리서치	27.3500
9368	ACNB	상업은행	2.91	1.20	15.16	ACNB	44.0800
9369	ACNT		1.03	1.39	12.21	어센트 인더스트리스	12.5700
9370	ACOG		1.29	3.65	7.20	알파 커그니션	9.3002
9371	ACRS	제약	1.40	1.12	1.07	애클래리스 테라퓨틱스	1.4950
9372	ACRV		2.22	0.26	0.59	아크리본 테라퓨틱스	1.3200
9373	ACT		4.45	1.10	8.43	인액트 홀딩스	37.4600
9374	ACTG	상업 및 전문서비스	0.11	0.52	33.13	아카시아 리서치	3.7200
9375	ACXP		0.70	4.55	0.67	아크룩스 파머슈티컬스	0.4699
9376	ADAG		0.74	1.81	2.62	아다진(ADR)	1.9400
9377	ADBE	인터넷소프트웨어 및 IT서비스	15.64	14.06	24.10	어도비	376.8350
9378	ADD		35.59	0.62	0.03	컬러 스타 테크놀로지	0.8901
9379	ADEA		0.67	4.01	21.59	아디아	14.4000
9380	ADGM		11.04	1.77	0.13	어다지오 메디컬 홀딩스	1.4298
9381	ADI	반도체 및 반도체장비	3.67	3.46	66.51	애널로그 디바이시스	244.3000
9382	ADIL	제약	1.62	0.96	0.19	애디얼 파머슈티컬	0.3076
9383	ADMA	바이오	0.84	11.38	21.11	ADMA 바이오로직스	17.8200
9384	ADP	인터넷소프트웨어 및 IT서비스	9.77	20.99	30.97	오토매틱 데이터 프로세싱	302.5000
9385	ADPT	바이오	0.96	9.25	12.09	어댑티브 바이오테크놀로지스	11.6000
9386	ADSK	인터넷소프트웨어 및 IT서비스	4.67	25.23	66.11	오토데스크	308.5101
9387	ADTN	통신장비	1.72	5.35	5.44	애드트랜	9.3250
9388	ADUR		0.29	29.73	31.30	아두로 클린 테크놀로지스	9.0100
9389	ADUS	건강관리장비 및 서비스	4.43	2.05	25.02	아듀스 홈케어	110.7800
9390	ADV		1.29	0.66	1.11	어드밴티지 솔루션스	1.4400
9391	ADVM	바이오	6.39	1.85	0.37	애드베럼 바이오테크놀로지스	2.3392
9392	ADXN		11.55	0.80	0.79	애딕스 테라퓨틱스(ADR)	9.1300
9393	AEHL		42.43	0.36	0.07	안텔로페 엔터프라이즈 홀딩스	2.8400
9394	AEHR	반도체 및 반도체장비	0.78	3.57	19.20	에흐르 테스트 시스템스	14.8999
9395	AEI		0.48	0.15	2.27	알셋	1.0800
9396	AEIS	반도체 및 반도체장비	1.94	4.18	70.15	어드밴스드 에너지 인더스트리스	135.7500
9397	AEMD	건강관리장비 및 서비스	7.79	0.58	0.15	애슬론 메디컬	1.1475
9398	AENT		0.23	2.29	18.89	얼라이언스 엔터테인먼트 홀딩	4.3824
9399	AEP		5.18	2.02	19.90	아메리칸 일렉트릭 파워	103.1550
9400	AERT		1.60	72.26	0.70	에어리스 테크놀로지	1.1200
9401	AEVA		2.82	24.11	10.70	애바 테크놀로지스	30.1900
9402	AEYE	인터넷소프트웨어 및 IT서비스	0.40	18.59	29.37	오디오아이	11.8700
9403	AFBI		0.90	0.96	20.40	어피니티 뱅크셰어스	18.4000
9404	AFCG		0.99	0.52	4.65	어드밴스드 플라워 캐피털	4.5800
9405	AFJK		0.22	2.74	49.69	아이메이 헬스 테크놀로지	11.1500
9406	AFRM		0.22	7.62	312.67	어펌 홀딩스	67.8800
9407	AFYA	소비자 서비스	1.34	2.07	13.16	AFYA	17.6200
9408	AGAE		0.42	1.25	4.98	얼라이드 게이밍 앤드 엔터테인먼트	2.0700
9409	AGFY		28.49	1.62	0.78	애그리파이	22.3000
9410	AGIO	바이오	11.29	1.39	3.12	애지오스 파머슈티컬스	35.1900
9411	AGMH	금융서비스	0.13	3.08	19.87	AGM 그룹 홀딩스	2.5550
9412	AGNC	REIT's 및 부동산관리개발	0.39	1.06	24.02	AGNC 인베스트먼트	9.4050
9413	AGRI		17.52	0.20	0.04	애그리포스 그로잉 시스템스	0.7538
9414	AGYS	인터넷소프트웨어 및 IT서비스	0.82	11.68	134.55	어질리시스	110.8400
9415	AHCO		0.57	0.78	16.38	어댑트헬스	9.2950
9416	AHG		0.06	1.46	20.05	악소 헬스 그룹(ADR)	1.2192
9417	AIFE		0.05	2.33	195.96	아이픽스 넥서스 애퀴지션	10.1900
9418	AIFF		3.38	6.88	0.90	파이어플라이 뉴로사이언스	3.0550
9419	AIFU		1.10	20.29	6.08	AIFU	6.6986
9420	AIMD		6.63	0.76	0.44	아이노스	2.9119
9421	AIOT		0.43	1.27	9.96	파워플리트	4.2650
9422	AIRG	컴퓨터전자장비/기기	0.69	1.56	5.78	에어게인	3.9999
9423	AIRJ		0.85	1.07	6.01	에어줄 테크놀로지스	5.1400
9424	AIRS		0.30	3.84	17.13	에어스컬프 테크놀로지스	5.0650
9425	AKAM	인터넷소프트웨어 및 IT서비스	2.96	2.54	26.89	아카마이 테크놀로지	79.7200
9426	AKAN		6.47	0.62	0.20	어칸다	1.3045
9427	AKBA	바이오	0.22	38.99	17.03	아케비아 테라퓨틱스	3.6650
9428	AKRO	바이오	3.75	3.79	13.77	아케로 테라퓨틱스	51.6050
9429	AKTX	제약	2.03	1.53	0.57	아카리 테라퓨틱스(ADR)	1.1492
9430	ALAB		0.23	14.32	385.44	아스테라 랩스	90.4250
9431	ALAR		0.69	3.32	19.17	얼라럼 테크놀로지스(ADR)	13.2200
9432	ALCO	음식료 및 담배생산	18.43	1.98	1.83	알리코	33.6700
9433	ALCY		0.13	13.68	88.39	앨커미 인베스트먼츠 애퀴지션	11.7200
9434	ALDX	바이오	0.97	3.90	4.27	알데이라 테라퓨틱스	4.1350
9435	ALEC	바이오	1.26	1.62	1.21	알렉터	1.5300
9436	ALF		0.30	2.38	35.05	센추리언 애퀴지션	10.5200
9437	ALGM		0.39	7.04	91.76	알레그로 마이크로시스템스	35.5100
9438	ALGN	건강관리장비 및 서비스	5.50	3.80	35.95	얼라인 테크놀로지	197.5700
9439	ALGS		17.45	0.39	0.43	앨리고스 테라퓨틱스	7.5178
9440	ALGT	항공사 및 항공운송	11.57	0.97	5.10	얼리전트 트래블	59.0200
9441	ALHC		0.47	24.79	28.67	얼라인먼트 헬스케어	13.5600
9442	ALKS	바이오	2.10	3.15	13.73	앨커미스	28.8400
9443	ALKT		0.37	8.87	77.26	알카미 테크놀로지	28.7700
9444	ALLO	바이오	1.23	0.69	0.99	알로진 테라퓨틱스	1.2201
9445	ALLR		12.38	0.94	0.08	앨러리티 테라퓨틱스	1.0300
9446	ALLT	인터넷소프트웨어 및 IT서비스	0.10	6.74	88.80	앨럿	8.4800
9447	ALMS		6.32	1.07	0.53	알루미스	3.3200
9448	ALMU		0.27	14.02	59.74	앨루마	15.9800
9449	ALNT		0.59	2.35	63.78	얼라이언트	37.7000
9450	ALNY	바이오	2.09	365.53	154.71	앨나일램 파머슈티컬스	323.7900
9451	ALOT	컴퓨터전자장비/기기	2.13	1.32	5.67	아스트로노바	12.0700
9452	ALRM	인터넷소프트웨어 및 IT서비스	2.36	3.72	24.04	알람닷컴 홀딩스	56.8400
9453	ALRS		1.21	1.10	18.41	앨러루스 파이낸셜	22.2600
9454	ALT	바이오	1.25	2.70	3.94	알티뮨	4.9350
9455	ALTI		1.53	1.64	2.68	알티 글로벌	4.1050
9456	ALTO		0.82	0.43	1.48	앨토 인그리디언츠	1.2100
