10223	종이·목재	-138.00	0.28	7.84	-5.46	2830	009580	무림P&P
10224	금속	8.00	5.88	-0.77	10.06	1411	009620	삼보산업
10225	운송장비·부품	240.00	0.70	10.60	6.20	10400	009680	모토닉
10226	금속	-321.00	0.96	-2.83	-32.83	909	009730	이렘
10227	종이·목재	15182.00	0.29	1.98	15.76	30000	009770	삼정펄프
10228	음식료·담배	366.00	0.91	7.11	15.01	8790	009780	엠에스씨
10229	유통	11.00	0.70	-37.78	8.84	340	009810	플레이그램
10230	화학	-255.00	0.67	-4.53	-1.90	36500	009830	한화솔루션
10231	운송장비·부품	319.00	0.63	3.41	9.54	8390	009900	명신산업
10232	금융	5106.00	0.70	5.70	10.22	139600	009970	영원무역홀딩스
10233	비금속	-24.00	0.48	18.06	-2.18	2420	010040	한국내화
10234	금융	-117.00	0.39	16.36	-0.22	81900	010060	OCI홀딩스
10235	운송장비·부품	447.00	0.38	3.30	13.92	4845	010100	한국무브넥스
10236	전기·전자	2329.00	4.51	34.94	15.22	278000	010120	LS ELECTRIC
10237	금속	7850.00	1.80	89.23	8.83	820000	010130	고려아연
10238	운송장비·부품	105.00	3.02	223.70	9.63	16330	010140	삼성중공업
10239	전기·전자	-75.00	1.93	-1.40	-58.58	968	010170	대한광통신
10240	기계·장비	256.00	0.58	6.33	11.53	5420	010240	흥국
10241	IT 서비스	18.00	0.97	6.35	6.08	1136	010280	아이티센엔텍
10242	건설	-404.00	0.26	-0.93	-17.27	2710	010400	우진아이엔에스
10243	유통	47.00	0.87	15.88	8.73	1874	010420	한솔PNS
10244	일반서비스	-37.00	0.60	7.63	-1.44	6260	010470	오리콤
10245	운송장비·부품	10.00	2.59	157.00	1.67	1570	010580	에스엠벡셀
10246	유통	-6.00	2.45	-2.34	-11.82	545	010600	웰바이오텍
